3333744
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
289,0.828,-0.003,-0.159,0.759,0.202,
290,0.828,-0.015,-0.15,0.766,0.206,
291,0.824,-0.008,-0.154,0.773,0.205,
292,0.823,-0.012,-0.186,0.811,0.204,
293,0.824,-0.002,-0.19,0.813,0.203,
294,0.815,-0.003,-0.191,0.832,0.201,
295,0.817,0.004,-0.203,0.844,0.198,
296,0.806,0.007,-0.201,0.857,0.198,
297,0.805,0.003,-0.202,0.872,0.194,
298,0.8,0.002,-0.199,0.887,0.193,
299,0.803,0,-0.197,0.894,0.194,
300,0.809,-0.001,-0.212,0.909,0.192,
301,0.788,0.002,-0.203,0.932,0.181,
302,0.789,0.006,-0.202,0.953,0.166,
303,0.773,0.005,-0.207,0.978,0.165,
304,0.749,0.005,-0.206,0.999,0.17,
305,0.75,0.006,-0.224,1.015,0.175,
306,0.751,0.009,-0.207,1.02,0.161,
307,0.756,0.008,-0.181,1.01,0.145,
308,0.753,0.007,-0.148,0.987,0.144,
309,0.719,0.008,-0.153,1.028,0.142,
310,0.699,0.009,-0.153,1.052,0.142,
311,0.696,0.007,-0.15,1.062,0.141,
312,0.693,0.008,-0.147,1.071,0.145,
313,0.693,0.008,-0.148,1.071,0.149,
314,0.684,0.006,-0.144,1.069,0.16,
315,0.683,0.005,-0.148,1.07,0.171,
316,0.685,0.003,-0.141,1.074,0.171,
317,0.695,0.008,-0.144,1.081,0.159,
318,0.705,0.008,-0.159,1.094,0.157,
319,0.717,0.004,-0.154,1.093,0.155,
320,0.716,0.003,-0.154,1.106,0.151,
321,0.687,0.005,-0.139,1.112,0.161,
322,0.685,0,-0.127,1.107,0.169,
323,0.66,0,-0.105,1.113,0.168,
324,0.662,0.013,-0.112,1.124,0.153,
325,0.653,0.025,-0.119,1.133,0.151,
326,0.647,0.025,-0.125,1.149,0.148,
327,0.65,0.025,-0.121,1.156,0.148,
328,0.67,0.027,-0.117,1.139,0.146,
329,0.669,0.01,-0.096,1.148,0.146,
330,0.667,0.002,-0.085,1.155,0.146,
331,0.668,0,-0.106,1.186,0.146,
332,0.667,-0.001,-0.101,1.187,0.146,
333,0.669,0.002,-0.1,1.188,0.144,
334,0.662,0.002,-0.095,1.201,0.142,
335,0.657,0.009,-0.085,1.199,0.141,
336,0.655,0.013,-0.083,1.207,0.141,
337,0.656,0.014,-0.076,1.206,0.141,
338,0.648,0.028,-0.076,1.214,0.136,
339,0.64,0.035,-0.076,1.221,0.13,
340,0.636,0.035,-0.075,1.228,0.132,
341,0.625,0.034,-0.062,1.228,0.141,
342,0.629,0.038,-0.072,1.229,0.152,
343,0.623,0.043,-0.073,1.239,0.154,
344,0.622,0.048,-0.092,1.257,0.16,
345,0.613,0.056,-0.092,1.269,0.158,
346,0.627,0.048,-0.095,1.289,0.143,
347,0.622,0.048,-0.106,1.307,0.149,
348,0.629,0.049,-0.114,1.311,0.149,
349,0.628,0.046,-0.114,1.31,0.16,
350,0.626,0.05,-0.114,1.305,0.175,
351,0.623,0.048,-0.12,1.324,0.175,
352,0.618,0.048,-0.117,1.328,0.18,
353,0.604,0.058,-0.112,1.331,0.179,
354,0.604,0.058,-0.154,1.373,0.179,
355,0.603,0.058,-0.18,1.401,0.181,
356,0.596,0.061,-0.166,1.4,0.178,
357,0.575,0.06,-0.173,1.426,0.184,
358,0.568,0.06,-0.192,1.459,0.185,
359,0.568,0.059,-0.19,1.476,0.178,
360,0.572,0.058,-0.187,1.485,0.18,
361,0.578,0.054,-0.189,1.495,0.181,
362,0.575,0.052,-0.189,1.509,0.18,
363,0.575,0.052,-0.194,1.528,0.181,
364,0.565,0.054,-0.195,1.548,0.181,
